Category,Product URL,Purity,Gold Weight,Diamond Weight,Image Link,
ring,https://geer.in/products/solene-everyday-sparkle-band/from_collection=lab-grown-diamonds-rings,14K,2.38 g,1.3 ct,https://geer.in/cdn/shop/files/GJLR-101_R1.jpg?v=1750401407,GJLR-101_R1.jpg
ring,https://geer.in/products/valence-pear-cut-diamond-ring/from_collection=lab-grown-diamonds-rings,14K,1.87 g,3.45 ct,https://geer.in/cdn/shop/files/GJLR-120_R1.jpg?v=1750401439,GJLR-120_R1.jpg
ring,https://geer.in/products/sovereign-asscher-diamond-ring/from_collection=lab-grown-diamonds-rings,14K,1.96 g,1.17 ct,https://geer.in/cdn/shop/files/GJLR-111_R1.jpg?v=1750401600,GJLR-111_R1.jpg
ring,https://geer.in/products/aurelia-oval-radiance-ring/from_collection=lab-grown-diamonds-rings,14K,1.62 g,1.12 ct,https://geer.in/cdn/shop/files/GJLR-136_R1.jpg?v=1750401497,GJLR-136_R1.jpg
ring,https://geer.in/products/nova-grace-band/from_collection=lab-grown-diamonds-rings,14K,2.55 g,0.62 ct,https://geer.in/cdn/shop/files/GJLR-150_R1_aca37ee1-314b-4550-8551-670200a8c5f5.jpg?v=1750402047,GJLR-150_R1_aca37ee1-314b-4550-8551-670200a8c5f5.jpg
ring,https://geer.in/products/luminary-solitaire-diamond-ring/from_collection=lab-grown-diamonds-rings,14K,2.64 g,1.15 ct,https://geer.in/cdn/shop/files/GJLR-114_R1.jpg?v=1750401766,GJLR-114_R1.jpg
ring,https://geer.in/products/amora-asymmetry-diamond-ring/from_collection=lab-grown-diamonds-rings,14K,1.79 g,1.1 ct,https://geer.in/cdn/shop/files/GJLR-131_R1.jpg?v=1750406093,GJLR-131_R1.jpg
ring,https://geer.in/products/classic-round-diamond-half-eternity-band/from_collection=lab-grown-diamonds-rings,14K,1.87 g,1.21 ct,https://geer.in/cdn/shop/files/AILR-1487A_Y1.jpg?v=1752147148,AILR-1487A_Y1.jpg
ring,https://geer.in/products/nayla-princess-cut-solitaire-ring/from_collection=lab-grown-diamonds-rings,14K,2.55 g,1.56 ct,https://geer.in/cdn/shop/files/GJLR-095_R1.jpg?v=1750401807,GJLR-095_R1.jpg
ring,https://geer.in/products/radiant-marquise-trio-ring/from_collection=lab-grown-diamonds-rings,14K,2.30 g,1.43 ct,https://geer.in/cdn/shop/files/GJLR-105_R1.jpg?v=1750402021,GJLR-105_R1.jpg
ring,https://geer.in/products/celestia-twist-diamond-ring/from_collection=lab-grown-diamonds-rings,14K,2.81 g,1.06 ct,https://geer.in/cdn/shop/files/GJLR-181_R1.jpg?v=1750393013,GJLR-181_R1.jpg
ring,https://geer.in/products/echelon-solitaire-diamond-ring/from_collection=lab-grown-diamonds-rings,14K,3.32 g,2.75 ct,https://geer.in/cdn/shop/files/GJLR-137_R1.jpg?v=1750402165,GJLR-137_R1.jpg
ring,https://geer.in/products/seren-cushion-radiance-ring/from_collection=lab-grown-diamonds-rings,14K,2.30 g,1.6 ct,https://geer.in/cdn/shop/files/GJLR-128_R1.jpg?v=1750402226,GJLR-128_R1.jpg
ring,https://geer.in/products/clarisse-emerald-solitaire/from_collection=lab-grown-diamonds-rings,14K,2.08 g,1.1 ct,https://geer.in/cdn/shop/files/GJLR-145_R1.jpg?v=1750402260,GJLR-145_R1.jpg
ring,https://geer.in/products/velina-everyday-cushion-ring/from_collection=lab-grown-diamonds-rings,14K,2.38 g,1.17 ct,https://geer.in/cdn/shop/files/GJLR-132_R1.jpg?v=1750402288,GJLR-132_R1.jpg
ring,https://geer.in/products/liora-trio-spark-ring-1/from_collection=lab-grown-diamonds-rings,14K,2.04 g,0.64 ct,https://geer.in/cdn/shop/files/GJLR-148_R1.jpg?v=1750402315,GJLR-148_R1.jpg
